"","set","model","feat_type","fold"
"487","set_97","WeightedEnsemble_L2","PubChem",1
"488","set_97","WeightedEnsemble_L2","mordred",2
"489","set_97","WeightedEnsemble_L2","mordred",3
"490","set_97","WeightedEnsemble_L2","mordred",4
"491","set_98","WeightedEnsemble_L2","SubstructureCount",0
"492","set_98","WeightedEnsemble_L2","PubChem",1
"493","set_98","WeightedEnsemble_L2","mordred",2
"494","set_98","WeightedEnsemble_L2","KlekotaRoth",3
"495","set_98","WeightedEnsemble_L2","padel",4
"496","set_99","WeightedEnsemble_L2","SubstructureCount",0
"497","set_99","WeightedEnsemble_L2","PubChem",1
"498","set_99","WeightedEnsemble_L2","mordred",2
"499","set_99","WeightedEnsemble_L2","KlekotaRothCount",3
"500","set_99","WeightedEnsemble_L2","KlekotaRoth",4
