"","set","model","feat_type","fold"
"100","set_26","WeightedEnsemble_L2","AtomPairs2DCount",4
"101","set_27","WeightedEnsemble_L2","SubstructureCount",0
"102","set_27","WeightedEnsemble_L2","SubstructureCount",1
"103","set_27","WeightedEnsemble_L2","padel",2
"104","set_27","WeightedEnsemble_L2","mordred",3
"105","set_27","WeightedEnsemble_L2","mordred",4
"106","set_28","WeightedEnsemble_L2","mordred",0
"107","set_28","WeightedEnsemble_L2","KlekotaRothCount",1
"108","set_28","WeightedEnsemble_L2","padel",2
"109","set_28","WeightedEnsemble_L2","Substructure",3
"110","set_28","WeightedEnsemble_L2","PubChem",4
"111","set_29","WeightedEnsemble_L2","KlekotaRothCount",0
"112","set_29","WeightedEnsemble_L2","mordred",1
"113","set_29","WeightedEnsemble_L2","KlekotaRoth",2
"114","set_29","WeightedEnsemble_L2","padel",3
"115","set_29","WeightedEnsemble_L2","KlekotaRothCount",4
"116","set_3","WeightedEnsemble_L2","KlekotaRoth",0
"117","set_3","WeightedEnsemble_L2","KlekotaRoth",1
"118","set_3","WeightedEnsemble_L2","mordred",2
"119","set_3","WeightedEnsemble_L2","AtomPairs2D",3
"120","set_3","WeightedEnsemble_L2","SubstructureCount",4
"121","set_30","WeightedEnsemble_L2","SubstructureCount",0
"122","set_30","WeightedEnsemble_L2","PubChem",1
"123","set_30","WeightedEnsemble_L2","padel",2
"124","set_30","WeightedEnsemble_L2","SubstructureCount",3
"125","set_30","WeightedEnsemble_L2","AtomPairs2DCount",4
"126","set_31","WeightedEnsemble_L2","PubChem",0
"127","set_31","WeightedEnsemble_L2","KlekotaRothCount",1
"128","set_31","WeightedEnsemble_L2","AtomPairs2DCount",2
"129","set_31","WeightedEnsemble_L2","padel",3
"130","set_31","WeightedEnsemble_L2","AtomPairs2DCount",4
"131","set_32","WeightedEnsemble_L2","KlekotaRothCount",0
"132","set_32","WeightedEnsemble_L2","SubstructureCount",1
"133","set_32","WeightedEnsemble_L2","padel",2
"134","set_32","WeightedEnsemble_L2","AtomPairs2DCount",3
"135","set_32","WeightedEnsemble_L2","AtomPairs2DCount",4
"136","set_33","WeightedEnsemble_L2","AtomPairs2DCount",0
"137","set_33","WeightedEnsemble_L2","KlekotaRothCount",1
"138","set_33","WeightedEnsemble_L2","AtomPairs2DCount",2
"139","set_33","WeightedEnsemble_L2","MACCS",3
"140","set_33","WeightedEnsemble_L2","AtomPairs2DCount",4
"141","set_34","WeightedEnsemble_L2","mordred",0
"142","set_34","WeightedEnsemble_L2","CDK",1
"143","set_34","WeightedEnsemble_L2","SubstructureCount",2
"144","set_34","WeightedEnsemble_L2","KlekotaRothCount",3
"145","set_34","WeightedEnsemble_L2","KlekotaRothCount",4
"146","set_35","WeightedEnsemble_L2","mordred",0
"147","set_35","WeightedEnsemble_L2","mordred",1
"148","set_35","WeightedEnsemble_L2","mordred",2
"149","set_35","WeightedEnsemble_L2","KlekotaRothCount",3
"150","set_35","WeightedEnsemble_L2","SubstructureCount",4
"151","set_36","WeightedEnsemble_L2","SubstructureCount",0
"152","set_36","WeightedEnsemble_L2","KlekotaRoth",1
"153","set_36","WeightedEnsemble_L2","KlekotaRoth",2
"154","set_36","WeightedEnsemble_L2","padel",3
"155","set_36","WeightedEnsemble_L2","SubstructureCount",4
"156","set_37","WeightedEnsemble_L2","mordred",0
"157","set_37","WeightedEnsemble_L2","SubstructureCount",1
"158","set_37","WeightedEnsemble_L2","CDKextended",2
"159","set_37","WeightedEnsemble_L2","KlekotaRoth",3
"160","set_37","WeightedEnsemble_L2","AtomPairs2DCount",4
"161","set_38","WeightedEnsemble_L2","CDK",0
"162","set_38","WeightedEnsemble_L2","KlekotaRothCount",1
"163","set_38","WeightedEnsemble_L2","mordred",2
"164","set_38","WeightedEnsemble_L2","AtomPairs2DCount",3
"165","set_38","WeightedEnsemble_L2","mordred",4
"166","set_39","WeightedEnsemble_L2","padel",0
"167","set_39","WeightedEnsemble_L2","KlekotaRoth",1
"168","set_39","WeightedEnsemble_L2","mordred",2
"169","set_39","WeightedEnsemble_L2","SubstructureCount",3
"170","set_39","WeightedEnsemble_L2","SubstructureCount",4
"171","set_4","WeightedEnsemble_L2","mordred",0
"172","set_4","WeightedEnsemble_L2","KlekotaRothCount",1
"173","set_4","WeightedEnsemble_L2","SubstructureCount",2
"174","set_4","WeightedEnsemble_L2","AtomPairs2DCount",3
"175","set_4","WeightedEnsemble_L2","SubstructureCount",4
"176","set_40","WeightedEnsemble_L2","padel",0
"177","set_40","WeightedEnsemble_L2","KlekotaRoth",1
"178","set_40","WeightedEnsemble_L2","padel",2
"179","set_40","WeightedEnsemble_L2","padel",3
"180","set_40","WeightedEnsemble_L2","padel",4
"181","set_41","WeightedEnsemble_L2","padel",0
"182","set_41","WeightedEnsemble_L2","padel",1
"183","set_41","WeightedEnsemble_L2","mordred",2
"184","set_41","WeightedEnsemble_L2","KlekotaRothCount",3
"185","set_41","WeightedEnsemble_L2","KlekotaRothCount",4
"186","set_42","WeightedEnsemble_L2","EState",0
"187","set_42","WeightedEnsemble_L2","PubChem",1
"188","set_42","WeightedEnsemble_L2","AtomPairs2DCount",2
"189","set_42","WeightedEnsemble_L2","padel",3
"190","set_42","WeightedEnsemble_L2","CDKgraphonly",4
"191","set_43","WeightedEnsemble_L2","mordred",0
"192","set_43","WeightedEnsemble_L2","mordred",1
"193","set_43","WeightedEnsemble_L2","padel",2
"194","set_43","WeightedEnsemble_L2","KlekotaRoth",3
"195","set_43","WeightedEnsemble_L2","SubstructureCount",4
"196","set_44","WeightedEnsemble_L2","AtomPairs2DCount",0
"197","set_44","WeightedEnsemble_L2","MACCS",1
"198","set_44","WeightedEnsemble_L2","AtomPairs2DCount",2
"199","set_44","WeightedEnsemble_L2","AtomPairs2DCount",3
"200","set_44","WeightedEnsemble_L2","MACCS",4
"201","set_45","WeightedEnsemble_L2","SubstructureCount",0
"202","set_45","WeightedEnsemble_L2","KlekotaRoth",1
"203","set_45","WeightedEnsemble_L2","AtomPairs2DCount",2
"204","set_45","WeightedEnsemble_L2","AtomPairs2DCount",3
"205","set_45","WeightedEnsemble_L2","AtomPairs2D",4
"206","set_46","WeightedEnsemble_L2","padel",0
"207","set_46","WeightedEnsemble_L2","AtomPairs2DCount",1
"208","set_46","WeightedEnsemble_L2","padel",2
"209","set_46","WeightedEnsemble_L2","AtomPairs2DCount",3
"210","set_46","WeightedEnsemble_L2","KlekotaRoth",4
"211","set_47","WeightedEnsemble_L2","padel",0
"212","set_47","WeightedEnsemble_L2","mordred",1
"213","set_47","WeightedEnsemble_L2","padel",2
"214","set_47","WeightedEnsemble_L2","padel",3
"215","set_47","WeightedEnsemble_L2","AtomPairs2DCount",4
"216","set_48","WeightedEnsemble_L2","mordred",0
"217","set_48","WeightedEnsemble_L2","KlekotaRothCount",1
"218","set_48","WeightedEnsemble_L2","CDKextended",2
"219","set_48","WeightedEnsemble_L2","AtomPairs2DCount",3
"220","set_48","WeightedEnsemble_L2","KlekotaRoth",4
"221","set_49","WeightedEnsemble_L2","AtomPairs2DCount",0
"222","set_49","WeightedEnsemble_L2","KlekotaRothCount",1
"223","set_49","WeightedEnsemble_L2","KlekotaRothCount",2
"224","set_49","WeightedEnsemble_L2","KlekotaRothCount",3
"225","set_49","WeightedEnsemble_L2","MACCS",4
"226","set_5","WeightedEnsemble_L2","SubstructureCount",0
"227","set_5","WeightedEnsemble_L2","SubstructureCount",1
"228","set_5","WeightedEnsemble_L2","mordred",2
"229","set_5","WeightedEnsemble_L2","mordred",3
"230","set_5","WeightedEnsemble_L2","PubChem",4
"231","set_50","WeightedEnsemble_L2","EState",0
"232","set_50","WeightedEnsemble_L2","KlekotaRoth",1
"233","set_50","WeightedEnsemble_L2","AtomPairs2DCount",2
"234","set_50","WeightedEnsemble_L2","AtomPairs2DCount",3
"235","set_50","WeightedEnsemble_L2","KlekotaRoth",4
"236","set_51","WeightedEnsemble_L2","padel",0
"237","set_51","WeightedEnsemble_L2","AtomPairs2DCount",1
"238","set_51","WeightedEnsemble_L2","KlekotaRoth",2
"239","set_51","WeightedEnsemble_L2","KlekotaRoth",3
"240","set_51","WeightedEnsemble_L2","AtomPairs2DCount",4
"241","set_52","WeightedEnsemble_L2","mordred",0
"242","set_52","WeightedEnsemble_L2","PubChem",1
"243","set_52","WeightedEnsemble_L2","padel",2
"244","set_52","WeightedEnsemble_L2","MACCS",3
"245","set_52","WeightedEnsemble_L2","MACCS",4
"246","set_53","WeightedEnsemble_L2","padel",0
"247","set_53","WeightedEnsemble_L2","mordred",1
"248","set_53","WeightedEnsemble_L2","AtomPairs2DCount",2
"249","set_53","WeightedEnsemble_L2","PubChem",3
"250","set_53","WeightedEnsemble_L2","AtomPairs2DCount",4
"251","set_54","WeightedEnsemble_L2","padel",0
"252","set_54","WeightedEnsemble_L2","CDK",1
"253","set_54","WeightedEnsemble_L2","AtomPairs2D",2
"254","set_54","WeightedEnsemble_L2","AtomPairs2DCount",3
